customer_id, first_name, last_name, email, phone, address, city, state, country, zip_code, date_of_birth, customer_type
1, Leah, Olson, leah.olson@icloud.com, +447402064176, 10 Jones Estate, Centers, Birmingham, Birmingham, United Kingdom, 954 7MN, 2002-10-20, Premium
2, Denise, Green, denise.green@outlook.com, +447645225488, 52 Mosley Bridge, Vista, Birmingham, Birmingham, United Kingdom, 708 9QR, 1957-08-14, Premium
3, Christopher, Johnson, christopher.johnson@outlook.com, +447970361125, 18 Kelley Street, Spur, Solihull, Birmingham, United Kingdom, 517 7MN, 1970-12-10, Regular
4, Caitlin, Cook, caitlin.cook@outlook.com, +447032480158, 40 Allen Bridge, Hill, Coventry, Birmingham, United Kingdom, 404 2CD, 1976-02-01, Premium
5, Frank, Sanders, frank.sanders@hotmail.com, +447874005256, 12 Riggs Light, Run, Sheffield, Sheffield, United Kingdom, 882 6KL, 1968-11-16, Regular
6, Laura, George, laura.george@icloud.com, +447034938940, 96 Oconnor Brook, Via, North Tyneside, Newcastle, United Kingdom, 352 6KL, 1998-11-28, Premium
7, Cynthia, Torres, cynthia.torres@icloud.com, +447377836053, 77 Dean Rapids, Canyon, South Tyneside, Newcastle, United Kingdom, 127 8OP, 1971-04-17, Premium
8, Debra, Smith, debra.smith@outlook.com, +447814687241, 95 Burns Garden, Station, Enfield, London, United Kingdom, 952 9QR, 1967-09-29, Premium
9, Jennifer, Barrera, jennifer.barrera@gmail.com, +447580018156, 47 Casey Light, Causeway, Liverpool, Liverpool, United Kingdom, 771 6KL, 1969-08-04, Premium
10, Jeremy, Parker, jeremy.parker@hotmail.com, +447825125399, 99 Kelly Loaf, Brooks, Bristol, Bristol, United Kingdom, 695 7MN, 1968-09-28, Regular
11, Troy, Rich, troy.rich@gmail.com, +447761261207, 1 Tonya Run, Valley, Newark, Nottingham, United Kingdom, 324 7MN, 1998-11-06, Regular
12, Savannah, Cook, savannah.cook@icloud.com, +447379277293, 93 William Groves, Prairie, Gateshead, Newcastle, United Kingdom, 711 4GH, 1954-05-06, Premium
13, Jason, Nelson, jason.nelson@hotmail.com, +447900987543, 54 Johnson Summit, Trafficway, Rotherham, Sheffield, United Kingdom, 307 4GH, 1962-06-14, Regular
14, Anna, Simpson, anna.simpson@hotmail.com, +447740547540, 10 Rebecca Fort, Valleys, Wigan, Manchester, United Kingdom, 565 2CD, 1973-01-03, Regular
15, Anthony, Lewis, anthony.lewis@outlook.com, +447991629560, 39 Donna Mountains, Parks, St Helens, Liverpool, United Kingdom, 775 6KL, 1976-01-20, Regular
16, Tammy, Lee, tammy.lee@yahoo.com, +447584399537, 37 Pamela Grove, Stravenue, Bolton, Manchester, United Kingdom, 648 9QR, 1968-03-19, Regular
17, Brandon, Dudley, brandon.dudley@icloud.com, +447929617838, 87 Jones Ferry, Parkway, Doncaster, Sheffield, United Kingdom, 688 8OP, 1996-12-03, Premium
18, Ruth, Harvey, ruth.harvey@outlook.com, +447997864696, 7 Simmons Road, Course, Gosport, Southampton, United Kingdom, 595 7MN, 1963-01-04, Regular
19, Sharon, Mckinney, sharon.mckinney@icloud.com, +447255288305, 61 Vincent Glens, Parks, New Forest, Southampton, United Kingdom, 491 5IJ, 1958-07-13, Regular
20, Daniel, Phelps, daniel.phelps@hotmail.com, +447290983599, 36 Smith Gateway, Path, North East Somerset, Bristol, United Kingdom, 387 9QR, 1999-10-21, Premium
21, Patrick, Wilcox, patrick.wilcox@outlook.com, +447360108955, 54 Mcdonald Coves, Green, Bath, Bristol, United Kingdom, 433 1AB, 1996-04-02, Regular
22, Daniel, Tucker, daniel.tucker@yahoo.com, +447694810148, 73 Joshua Rue, Circles, Rochdale, Manchester, United Kingdom, 741 4GH, 1995-01-04, Premium
23, Jonathan, Smith, jonathan.smith@outlook.com, +447250767515, 39 Fisher Lights, Shores, Knowsley, Liverpool, United Kingdom, 948 8OP, 2003-12-11, Premium
24, Billy, Smith, billy.smith@icloud.com, +447597834819, 65 Cynthia Landing, Square, Bradford, Leeds, United Kingdom, 308 9QR, 2000-05-13, Regular
25, James, Woodard, james.woodard@outlook.com, +447826185531, 46 James Plains, Parks, Calderdale, Leeds, United Kingdom, 993 9QR, 1971-07-25, Premium
26, Marie, Williams, marie.williams@hotmail.com, +447887025672, 5 Ortiz Forge, Junctions, Camden, London, United Kingdom, 847 1AB, 1962-07-16, Regular
27, Joseph, Olson, joseph.olson@hotmail.com, +447735405416, 70 Allen Ports, Ways, Rotherham, Sheffield, United Kingdom, 312 8OP, 1961-08-20, Premium
28, Edward, Young, edward.young@yahoo.com, +447717297012, 84 Sullivan Springs, Courts, Eastleigh, Southampton, United Kingdom, 631 6KL, 1952-01-08, Regular
29, Megan, Scott, megan.scott@yahoo.com, +447401417115, 23 Hodges Field, Wall, Doncaster, Sheffield, United Kingdom, 426 8OP, 1999-03-19, Regular
30, Sandra, Boyd, sandra.boyd@hotmail.com, +447978359662, 87 Jeremy Knolls, Forge, St Helens, Liverpool, United Kingdom, 645 8OP, 1999-12-15, Premium
31, Gina, Fitzgerald, gina.fitzgerald@hotmail.com, +447912523908, 13 Bernard Fields, Ville, Coventry, Birmingham, United Kingdom, 856 4GH, 1980-09-15, Premium
32, Lori, Morales, lori.morales@yahoo.com, +447158859078, 72 Porter Ford, Island, Manchester, Manchester, United Kingdom, 148 1AB, 1967-11-17, Regular
33, Danny, Johnson, danny.johnson@yahoo.com, +447498452851, 10 Paul Manors, Summit, Barnsley, Sheffield, United Kingdom, 463 9QR, 1978-03-13, Premium
34, Randall, Hampton, randall.hampton@yahoo.com, +447306467732, 40 Thompson Court, Forks, Gedling, Nottingham, United Kingdom, 141 4GH, 1971-10-10, Premium
35, David, Torres, david.torres@gmail.com, +447880480180, 25 Estes Course, Vista, Bath, Bristol, United Kingdom, 986 7MN, 2003-03-19, Premium
36, Elizabeth, Gutierrez, elizabeth.gutierrez@icloud.com, +447322027375, 60 Bryce Street, Orchard, Wirral, Liverpool, United Kingdom, 492 8OP, 2000-08-01, Premium
37, Jerry, Dyer, jerry.dyer@icloud.com, +447535949782, 13 Booth Stravenue, Inlet, Newark, Nottingham, United Kingdom, 499 5IJ, 1959-06-12, Premium
38, Elizabeth, Sanchez, elizabeth.sanchez@yahoo.com, +447014069298, 59 Sharon Highway, Tunnel, Bath, Bristol, United Kingdom, 246 4GH, 2006-04-03, Regular
39, Kevin, Villanueva, kevin.villanueva@hotmail.com, +447401312036, 21 Robinson Lakes, Port, Liverpool, Liverpool, United Kingdom, 147 2CD, 1994-03-23, Premium
40, Stephen, Hamilton, stephen.hamilton@icloud.com, +447567333532, 54 Sarah Court, Groves, Newark, Nottingham, United Kingdom, 883 2CD, 1963-11-18, Premium
41, Corey, Miller, corey.miller@outlook.com, +447498873813, 100 Anna Tunnel, Corner, Bristol, Bristol, United Kingdom, 678 2CD, 1982-08-25, Regular
42, Marc, Smith, marc.smith@hotmail.com, +447669346488, 10 Gaines Heights, Pass, South Tyneside, Newcastle, United Kingdom, 853 2CD, 1953-09-11, Regular
43, Christian, Serrano, christian.serrano@icloud.com, +447285666534, 67 April Place, Ridge, Manchester, Manchester, United Kingdom, 956 4GH, 1978-12-22, Regular
44, Jenny, Higgins, jenny.higgins@gmail.com, +447978368054, 32 Katherine Groves, Passage, Dudley, Birmingham, United Kingdom, 723 6KL, 1999-06-26, Premium
45, Anthony, Walker, anthony.walker@icloud.com, +447294022615, 42 Raymond Shoal, Roads, Leeds, Leeds, United Kingdom, 536 7MN, 1988-01-25, Regular
46, Tina, Hall, tina.hall@outlook.com, +447705150357, 100 Rodriguez Forge, Trail, North East Somerset, Bristol, United Kingdom, 997 9QR, 2002-10-11, Regular
47, Chad, Davies, chad.davies@gmail.com, +447595700073, 85 Emma Drives, Village, Bath, Bristol, United Kingdom, 471 5IJ, 1980-09-21, Premium
48, Timothy, Clark, timothy.clark@icloud.com, +447776934621, 28 Amanda Centers, Harbor, Doncaster, Sheffield, United Kingdom, 422 6KL, 1990-10-29, Premium
